Source_NAME,Activity,Activity Description
Murphys Point,Swimming,"The Main Beach is on Hogg Bay with a second beach in the Day-Use area on Noble Bay. Both of these beaches are marked with buoys and have gradual drop-offs. Please note: there are no lifeguards posted at the beaches and pets are not permitted, even on the grassy area immediately adjacent to the sand."
Murphys Point,Winter Activities,"Cross-Country Skiing and Snowshoeing
Two parking lots are maintained for winter day-use. The Tay Valley Cross-Country Ski Club grooms and track sets 20 km of trail for skiing, including 4 km for skate-skiing, 14 km for classic skiing and 8 km for backcountry skiing. Two warm-up chalets are maintained. Suggested snowshoe routes are along non-groomed hiking trails. The ski club hosts an annual loppet. Visit http://tayvalleyskiclub.wordpress.com/ for more information."
Nagagamisis,Biking,Cycling is available only on park roads. Mountain biking opportunities are available outside the park on the many bush roads winding through the forest.
Nagagamisis,Birding,"Nagagamisis lies within the vast boreal forest region. This is often called the songbird nursery, as hundreds of bird species nest here each summer. Warblers are the most colourful and have the prettiest songs, but many other birds can be heard and seen in the park, including many types of woodpeckers, ducks, finches and flycatchers, as well as fishing birds like Great Blue Herons, Ospreys and Bald Eagles."
Nagagamisis,Boating,"Enjoy the extensive boating opportunities on Nagagamisis Lake. Launch your boat and pull it up on shore, especially if you camp on one of the waterfront sites."
Nagagamisis,Canoeing,There are excellent canoeing opportunities on Nagagamisis Lake and Park Lake. Nagagami and Shekak Rivers both provide backcountry canoeing opportunities for experienced canoeists.
Nagagamisis,Fishing,"Fish for Walleye, Northern Pike, Lake Whitefish and Yellow Perch, then clean your catch at a fish cleaning hut close to the fish smoker and playground."
Nagagamisis,Hiking,"Shaganash Trail 4 km (2 hours) moderate
 This trail follows the shoreline of Park Lake. Interpretive stops along the way explain how Aboriginals used plants and wildlife to survive in this environment."
Nagagamisis,Hunting,"Hunting in this park is subject to the Ontario Hunting Regulations. Certain restrictions apply. For more information, contact the park or your local Ministry of Natural Resources office."
Nagagamisis,Swimming,"The sandy beaches, clear water and buoyed area are perfect for family swimming. There are change facilities. There is a full size sand volleyball court at the Day-Use Area, and a place to play horseshoes. A bit closer o the campground is our new playground!"
Neys,Biking,Bicycles are a great way to explore the campground and are encouraged as a mode of transportation within the park. They are permitted on park roads but not on the trail system.
Neys,Birding,Birders at Neys can expect to see birds typical of the boreal forest.
Neys,Boating,Launch your boat at a ramp on Little Pic River to enjoy the spectacular views from offshore.
Neys,Canoeing,Canoe the pristine waters of Lake Superior or explore the Little Pic River. Bring your own canoe or rent one from the park. Launch along the sandy beach or at the boat launch located on the Little Pic River.
Neys,Fishing,"Rainbow Trout, Lake Trout, whitefish and salmon are found in the waters of Lake Superior."
Neys,Hiking,"Dune Trail - 1 km loop (30 minutes), easy
 As you walk along this short trail, take note of the delicate dune vegetation and then compare it with the plants of the boreal forest at the back of the loop."
Neys,Hunting,"Hunting in this park is subject to the Ontario Hunting Regulations. Certain restrictions apply. For more information, contact the park or your local Ministry of Natural Resources office."
Neys,Natural Heritage Education,"During the summer, Natural Heritage Education leaders offer guided walks, children’s programs, evening slide talks and movie nights. Look for special events on weekends. Superior Sand and Sun is held annually in mid-July. Neys Nostalgia Days, traditionally held on the second weekend in August, gives visitors a chance to meet the spirits of the past including the prisoners-of-war who once stayed in this remote spot, voyageurs who passed by here, Canadian Pacific Rail navvies, loggers and fishermen. Come visit us at our newly renovated Visitor Centre!"
Neys,Swimming,"Neys’ spectacular two kilometre beach is situated on Ashburton Bay on Lake Superior. The bay is relatively shallow and sandy, so in the heat of the summer you are able to take a refreshing dip in the notoriously cold Lake Superior and actually enjoy the experience! Visitors can also swim in the Little Pic River."
North Beach,Birding,"Visitors to North Beach may see hawks, Saw-whet Owls, and Turkey Vultures."
North Beach,Boating,"Launch your motorboat, canoe or sailboat from the park’s bay-side boat ramp."
North Beach,Fishing,"Anglers visiting North Beach could catch Largemouth Bass, Northern Pike, perch and sunfish."
North Beach,Swimming,"North Beach offers 1,200 metres of sandy beach facing Lake Ontario and another 800 metres of sand beach on North Bay. Waters drop off gradually on the lake side and steeply on the bay side."
Oastler Lake,Biking,"Cycling on park roads is limited. Please wear your helmets and use extra caution. The Seguin Recreational Trail is a 5 km drive outside of the park, take exit 214 just off of Hwy. 400."
Oastler Lake,Boating,"This small inland lake is suitable for small boats less than 20 feet long. There is a boat launch and limited docking facilities on a first-come, first-served basis."
Oastler Lake,Canoeing,"Canoe rentals are available on first-come, first-served basis for campers."
Oastler Lake,Fishing,"Summer is the best time to fish for Rainbow Trout, pike and bass. Please refer to the Ontario Fishing Regulations for seasons."
Oastler Lake,Swimming,"Oastler Lake boasts one of the best beaches in the Parry Sound Area. There is plenty of room to play a game of volleyball, build sand sculptures, or just relax on the beach."
Obabika River,Birding,"Lady Evelyn-Smoothwater and the surrounding waterway parks including Obabika River, protect an area of rugged highland watersheds and contain forest that mixes Great Lakes-St. Lawrence and Boreal species of trees, creating many different habitats for birds. During the nesting season of spring and early summer, many species of warbler, thrush, flycatcher and woodpecker can be heard calling to defend territory. Eagles, osprey and many other birds of prey can be spotted hunting above the forests of the park."
Obabika River,Boating,Motorboat restrictions apply. Please refer to the Temagami Area Park Management Plan 2007 for zone specific management direction.
Obabika River,Canoeing,"As part of the interconnected network of canoe routes in the Temagami region, Obabika River Provincial Park can be used as part of a number of different routes. Common routes include Lake Temagami, Diamond, Wakimika and Obabika Lakes; Obabika Lake and the Obabika River itself can be combined as a loop; and Lady Evelyn, Sucker Gut and Willow Island Lakes are part of the route to Maple Mountain and beyond. Check the Temagami Canoe Route Planning map or other trip planning resources for route ideas."
Obabika River,Fishing,Ontario Fishing regulations apply.
Obabika River,Hiking,Obabika Lake Old Growth Trails: A system of day-use hiking trails spread through the old growth forest area. These trails are rated as intermediate and require a full day or more to explore. Hikers are encouraged to take food and water along and are reminded to be especially respectful when using the trails of this spiritually significant area.
Obabika River,Hunting,Hunting restrictions apply. Please refer to the Temagami Area Park Management Plan 2007 for zone specific management direction.
Obabika River,Swimming,The lakes and rivers of this provincial park offer typical backcountry swimming opportunities with some fine sand/silt shorelines and rocky headlands for access to the water.
Ojibway,Biking,Cycling is a popular way to explore the campground. Children are reminded to wear their helmets.
Ojibway,Boating,All boats are allowed in Ojibway’s numerous lakes.
Ojibway,Canoeing,Launch your canoe or rent one at the Park Office and enjoy exploring Little Vermilion Lake. The lakes in the park also link to longer canoe routes.
Ojibway,Fishing,"The lakes in and around the park teem with Northern Pike, walleye, Smallmouth Bass and Lake Trout. A fish cleaning station, with running water and cutting tables, is located by the north boat launch. Huge Smallmouth Bass can be caught right from the dock!"
Ojibway,Hiking,"Boreal Walking Trail - 1.5 km, easy  
Along this trail through the boreal forest, larch and Jack Pines grow among White and Black Spruce and White Birch."
Ojibway,Swimming,The Beach is located in the Day-Use area. The beach is marked with buoys. Please note: there are no lifeguards posted at the beaches and pets are not permitted.
Ouimet Canyon,Birding,"Ouimet Canyon provides great opportunities for bird watching, as sections of the raised boardwalk trail get you closer to the forest canopy to see and hear neotropical migrants (birds that breed in North America and spend winters in Central and South America), as well as year round residents of the boreal forest.  You many also get a glimpse of the threatened Peregrine Falcon, which occasionally nests on the cliffs of the canyon."
Ouimet Canyon,Hiking,Ouimet Canyon features a one kilometre loop trail to two viewing platforms along the canyon’s rim. Please stay on the trail and view the canyon only from the designated lookout points. One route/direction along this trail allows for barrier-free access to the lookouts.
Oxtongue River - Ragged Falls,Hiking,"There is a short hiking trail that leads to the water fall. Depending on the time of year, and with caution, you can climb along the rocks to the bottom of the falls; an equally impressive view of the falls."
Pakwash,Biking,Cycling is a popular way to wander through the campground. Kids are reminded to wear their helmets
Pakwash,Boating,Boating is permitted on Pakwash Lake but please take care when there are high winds this open lake can get very choppy.
Pakwash,Canoeing,Launch your canoe or rent one at the Park Office and you can paddle on Pakwash Lake.
Pakwash,Fishing,"The lakes in and around the park teem with Northern Pike, walleye and Lake trout. A fish-cleaning station with lights, running water and cutting tables is located by the boat launch. In early June you can catch a feed of walleye from the shoreline of your campsite."
Pakwash,Hiking,"Nature Trail - 5 km, moderate  
Hikers will cross a marsh, pass a beaver pond and walk through woods along this nature trail. Along the way nine interpretive stops explain the flora and fauna that inhabit the area."
Pakwash,Swimming,"Pakwash features a long, sandy beach located in the day-use area of the park. The swimming area is marked with buoys. Please note that there are no lifeguards posted at the beaches and pets are not permitted."
Pancake Bay,Biking,"The 14-km Trail  
Cycling is permitted on the 14 km Lookout Trail. This is a rugged backcountry trail, therefore proper safety precautions, including wearing a bike helmet, should be taken."
Pancake Bay,Birding,"Situated in the transition zone between the Great Lakes and Boreal Forest regions, Pancake Bay is home to a variety of wildlife. In the campground look for Red Squirrels, chipmunks, Red fox and several bird species including Pileated and Downy Woodpeckers. On the trails keep a lookout for moose, wolves, Black Bears and birds such as Bald Eagles, Common Loons, Sandhill Cranes, flycatchers and Cedar Waxwings and many forest warblers like redstarts. Over 200 bird species have been recorded in the park. The wetlands within park boundaries provide habitat for a number of amphibians. These include Spring Peepers and Green Frogs,which are sure to be a favourite with younger wildlife enthusiasts."
Pancake Bay,Boating,"There is no boat launch in the park. For access to Lake Superior, boats must be carried into the water or driven to a launch 11 km south, at the mouth of the Batchawana River. Sudden weather changes can occur frequently and can be hazardous."
Pancake Bay,Canoeing,"Paddle the spectacular shoreline of Lake Superior, exploring just as the voyageurs once did. Batchawana Bay is large but relatively sheltered, while north of the park the rugged and rocky Lake Superior shoreline shows how powerful the lake can be. Sudden weather changes that can cause large swells and waves to occur can be hazardous. Always wear your personal flotation device and paddle within your ability."
Pancake Bay,Fishing,"Spring and fall are the best times to fish for Lake Trout in Lake Superior, and Rainbow Trout and salmon in the Pancake River. A variety of rivers and lakes nearby, provide additional angling opportunities."
Pancake Bay,Hiking,"The Pancake Bay Nature Trail – 3.5 km (1-2 hours) easy
Located next to the campground, this trail begins along the dramatic Lake Superior shoreline, takes you over forested ancient beach ridges, through a fascinating wetland and then ends along a shallow meandering creek. Highlights of this trail include a boardwalk crossing the wetland, spring and summer wildflowers and a huge billion year-old conglomerate boulder. Interpretive signs posted along the trail will guide you in experiencing the natural features of this walk."
Pancake Bay,Natural Heritage Education,"Park Naturalists at Pancake Bay run the park’s Natural Heritage Education Program during the summer months, from late June to Labour Day. This program is for enthusiasts of all ages wishing to experience the natural wonders and cultural heritage of the Pancake Bay area. Programs change weekly and include: daytime and evening guided walks, evening amphitheatre programs, movie nights, special events and active programs, especially for kids. 
Check the “Calendar of Events” postings on park bulletin boards for times and locations of programs during your stay."
Pancake Bay,Swimming,Pancake Bay has one of the finest beaches in North America. The beach - 3.2 km of fine sand - is sheltered from the open lake by two protective promontories that form the bay. Please note: there are no lifeguards posted at the beaches and pets are not permitted.
Petroglyphs,Birding,"Petroglyphs Provincial Park borders the Peterborough Crown Game Reserve. Birds such as Gray Jays, Wild Turkeys, Ruffed Grouse and various types of hawks are visible in the summer."
Petroglyphs,Hiking,"Ratarat Trail - 1 km, moderate  
Located at the West McGinnis Picnic Area, this short hike meanders through mixed forest and past the beautiful and unique McGinnis Lake. It’s a great area to have a picnic and then go for a short hike."
Petroglyphs,Natural Heritage Education,"The Natural Heritage Education team offers several evening programs during July and August. Each program begins with showing the award winning film “The Teaching Rocks,” at the Learning Place theatre. Visitors are then led to the sacred Petroglyphs Site. Listen to park guides tell stories generations old, relating to First Nations and various understandings as to why these carvings were made."
Pigeon River,Birding,"Pigeon River marks a transition from the forest of the Great Lakes-St Lawrence Lowlands to boreal forest. This means that bird species of both regions can be found in the park. Birders could see Grey Catbirds, Rose-Breasted Grosbeaks, Common Ravens and Gray Jays."
Pigeon River,Fishing,"The Pigeon River offers fishing opportunities for pickerel, Northern Pike, Chinook 
Salmon, Smallmouth Bass, and Rainbow Trout."
Pigeon River,Hiking,"Pigeon River has a number of hiking options for visitors. The Boardwalk, Finger Point and High Falls trails begin at the Ontario Travel Centre. The Middle Falls Walk, Lookout Trail and Logging Road Trail begin at the Middle Falls Access. A trail brochure is available at the Ontario Travel Information Centre."
Pigeon River,Hunting,Signs along the highway indicate areas where hunting is permitted.
Pigeon River,Winter Activities,"Enjoy Pigeon River Provincial Park’s hiking trails during the winter months, by foot or on snowshoe."
Point Farms,Biking,Trails and roadways are available for cycling.
Point Farms,Birding,"The park offers a wide range of habitat that hosts a variety of birds. Some of which include turkeys, Red-tailed Hawks, Yellow-bellied Sapsuckers, chickadees, Orioles, Blue Jays."
Point Farms,Boating,There is no boat ramp within the park.
Point Farms,Fishing,Fishing is popular in the nearby Maitland River and from the pier in the town of Goderich.
Point Farms,Hiking,"Old Farms Trail – 4km (1.5 hours), loop, easy 
Take a leisurely walk through areas that were once old farm fields and orchards."
Point Farms,Hunting,Hunting for small game is permitted in designated areas after the park closes in October. Contact the Park Office for more information.
Point Farms,Swimming,"There is a beautiful natural, sandy beach located north of the point and easily accessible from the Colborne Campground and beach parking lot. Please note: there are no lifeguards posted at the beaches. Pets are only permitted in the designated area."
Point Farms,Winter Activities,The park is closed in the winter however cross-country skiing and hiking is permitted on roads and trails. Snowmobiling on roadways only is also permitted.
Port Bruce,Swimming,"A beautiful, natural beach allows visitors to relax in the sun and then cool off by taking a swim in the warm, shallow waters of Lake Erie."
Port Burwell,Biking,"No dedicated cycling trails. The campgrounds are located on a plateau and all campground roads are hard surfaced making it an excellent place to ride bicycles. Roads are busy, so caution is always advised and helmets should be worn."
Port Burwell,Birding,"Port Burwell is one of the best locations along the Lake Erie shoreline to see spring and fall migration. Perhaps the most thrilling aspect is the fall migration of hawks, vultures, and eagles. You can also witness Monarch Butterflies, Blue Jays and dragonflies on their spectacular migration. More than 85 species of migratory birds have been spotted here in the spring and our bird check list includes 232 species. Lake Erie presents a barrier to these seasonal movements so the flow of migrants concentrates at and moves along the shoreline in both the spring and fall. The park is an undiscovered birder’s paradise. It is located centrally between the renowned birding areas of Long Point, Rondeau and Point Pelee so the quantity and quality of birding is excellent."
Port Burwell,Boating,Boat launching and docking facilities are located near the park with access to Lake Erie available through the Big Otter Creek. It immediately opens into an unprotected section of Lake Erie so boaters should be cautious. The often choppy waters of Lake Erie are excellent for experienced wind surfers.
Port Burwell,Canoeing,"Otter Creek 25 km, 16 hours, no portages, easy 
Otter Creek is located just outside the park and has its headwaters north of Tillsonburg. It is a very slow moving, meandering stream that is easily accessed along Highway 19 (Plank Road) or various concession road crossings. In many areas, it carves its way through very scenic gullies."
Port Burwell,Fishing,"Angling is excellent in this part of Lake Erie but a boat is recommended. There are limited fishing opportunities along Big Otter Creek as it enters the lake. Perch, catfish, smelt and pickerel (walleye) are just a few species found in the lake."
Port Burwell,Hiking,"Ravine Creek Trail 1 km, 45 minutes, easy 
This interpretive trail, which features a self-guided brochure, travels through a ravine and woodlot. Eleven stops along the way explain local geology, flora and fauna."
Port Burwell,Natural Heritage Education,"Park staff provide interpretive and recreational programs during the summer season (July 1st to Labour Day), with activities taking place around the all-weather modern amphitheatre. Programs include semi-weekly children’s crafts, slide shows, nature theme movies, campfires, skits, and conducted hikes."
Port Burwell,Swimming,"The beach is one of the high points for most park visitors. The water is shallow, sandy and due to our southerly latitude, very warm."
Port Burwell,Winter Activities,Although gated in the winter you can walk in and take the opportunity to cross-country ski or hike in this quiet rural area of Southwestern Ontario.
Potholes,Birding,"The boreal forest which covers Potholes Provincial Park is the summer home and nesting grounds of hundreds of species of songbirds. Warblers, flycatchers and Northern Sparrows are common along the river."
Potholes,Hiking,"There is a 350 meter self-guided hiking trail and boardwalk that winds in and around the natural beauty of these distinctive pothole landforms created by glaciers thousands of years ago. The interpretive panels along the trail provide information on the geology, flora and fauna found in this nature reserve."
Potholes,Natural Heritage Education,"Colourful interpretive panels take you back 10,000 years where the glacial meltwater carrying debris of enormous erosive power, combined with the jointed and fractured bedrock over which they flowed, formed these large potholes and sculpted the surrounding bedrock."
Presqu'ile,Biking,"With its flat terrain, Presqu’ile is well suited to cycling. There is a dedicated walking/bike lane beside the paved 8 km road loop that provides access to picnic grounds, the visitor centres and trails. An unpaved bicycle path connects the campgrounds with the paved loop, beach and Park Store."
Presqu'ile,Birding,"As a major stopover for migrating birds and monarch, Presqu’ile is renowned among birdwatchers as one of the premier birding locations in the province. At least 336 species of birds have been spotted within in the park and 130 species are known to nest here. March for waterfowl, May for songbirds and shorebirds and September for shorebirds are highlight months."
Presqu'ile,Boating,Both Presqu’ile Bay and Lake Ontario are accessible to boats. Please note that during waterbird nesting season you must remain a minimum of 200 m away from the two offshore islands (High Bluff and Gull). Nesting season occurs from March 10 to September 10 inclusive.
Presqu'ile,Canoeing,Presqu’ile Bay and marsh are sheltered enough to allow canoe exploration. Canoes can be put in at the Camp Office viewing platform or at Calf Pasture picnic area. Canoeing in Lake Ontario is recommended only on the calmest days. Please note that during waterbird nesting season you must remain a minimum of 200 m away from the two offshore islands (High Bluff and Gull). Nesting season occurs from March 10 to September 10 inclusive.
Presqu'ile,Fishing,The waters of both Presqu’ile Bay and Lake Ontario are accessible by boat for fishing in season. Land-based fishing can be enjoyed at the Calf Pasture Picnic Ground or just outside the park from the Municipality of Brighton’s “Government Dock”.
Presqu'ile,Hiking,"Presqu’ile was made for walking; its flat terrain and views of Lake Ontario attract walkers all year. A favourite route for many is the paved one-way driving loop (Lighthouse Lane and Paxton Drive) around the peninsula. This road has a designated walking/bike lane and is plowed in the winter. This is still a road however and walkers are urged to be cautious, particularly in the busy summer months. For those wanting a more natural experience Presqu’ile has 12 km of traditional “off-road” trails. All trails are clearly marked with coloured plastic blazes and are cleared of deadfall on a regular basis."
Presqu'ile,Hunting,"A regulated waterfowl hunt takes place Mondays, Wednesdays, Fridays and Saturdays in the marsh and offshore islands from the fourth Friday in September to December 20th. Hunting in this park is subject to the Ontario Hunting Regulations. Certain restrictions apply. For more information, contact the park or a Ministry of Natural Resources office."
Presqu'ile,Natural Heritage Education,"Daily slide talks, guided walks, campfire programs, and children’s programs are held in the summer. Guided walks, conducted bird walks and other nature activities are offered on weekends in the spring and fall."
Presqu'ile,Swimming,"A long, safe, sandy beach is ideal for family swimming. Please remember that there are no lifeguards on duty at the beach so children must be supervised."
Presqu'ile,Winter Activities,"Walking is popular all year at Presqu’ile on the paved road loop with a dedicated walking lane.  Self-grooming skiing is available on the 12 km of trails in the park. From the group camping parking lot, two loops head east and west."
Quetico,Biking,There are no dedicated bike trails at Quetico but visitors are welcome to explore the Dawson Trail Campground roads on bicycle.
Quetico,Birding,"Over 200 bird species have been recorded in Quetico, many of which are migratory. During the summer over 100 species of birds nest in Quetico.  The park is a major breeding ground for birds of prey such as Bald Eagles & osprey."
Quetico,Canoeing,"Stretching 60 miles from east to west and 40 miles from north to south, Quetico is renowned for its rugged beauty - its towering rock cliffs, majestic waterfalls, virgin pine and spruce forests, picturesque rivers and lakes - and for the best wilderness canoeing in the world. Except for Dawson Trail, the park is accessible only by water. There are no roads; logging is not permitted and regulations help preserve the park’s natural and remote splendour."
Quetico,Fishing,"Quetico’s many lakes and rivers support an exceptional fishery of walleye, Lake Trout, Northern Pike and Smallmouth Bass. A fish cleaning station is available near the beach in the Dawson Trail Campground."
Quetico,Hiking,"Campers at the Dawson Trail Campground can explore 35 km of hiking trails, ranging from barrier-free to moderate difficulty."
Quetico,Natural Heritage Education,"Natural Heritage Education (NHE) staff offer a variety of interpretive programs during the summer and winter months. Cross cultural educational programming with local first nations, presentations, hikes, workshops and children’s programs are offered throughout the summer months at Dawson Trail.
 
The Quetico Artist in Residence program is also presented through the NHE department."
Quetico,Swimming,"The backcountry of Quetico is host to many excellent swimming opportunities. Dawson Trail Campground has a main beach with a designated swimming area, change rooms and facilities."
Quetico,Winter Activities,The Dawson Trail Campground has a variety of ski and snowshoe trails that are maintained in the winter. Quetico hosts various ski and winter themed events each year. Check the Park Events for up to date information. Rustic cabins are also available for rent year-round.
Rainbow Falls,Biking,Bicycles are a great way to explore the campground and are encouraged as a mode of transportation within the park. They are permitted on park roads but not on the trail system. Bicycles (with helmets) are available for rent at Rainbow Falls.
Rainbow Falls,Boating,"Recreational boating is popular on Whitesand Lake. Boaters are requested to avoid the water above the falls and around designated swimming areas. As a safety feature, buoy lines mark these areas. If you plan to boat on Lake Superior, where larger craft are advised, please take appropriate safety precautions, for example provide someone with a trip plan."
Rainbow Falls,Canoeing,The calm waters of Whitesand Lake are ideal for canoeing. An annual canoe regatta is held in July. Canoes can be rented at Whitesand Lake. Canoes and kayaks can also be rented from outfitters in Rossport.  Visitors to the Rossport Campground might try sea kayaking along the shoreline of Lake Superior.
Rainbow Falls,Fishing,"For Brook Trout, cast your line in Whitesand River. Lake Trout and bass are more likely catches in Whitesand Lake. For Lake Trout, Rainbow Trout, salmon and whitefish, head for Lake Superior."
Rainbow Falls,Hiking,"Back Forty Trail 5.6 km return, 2.5 hours, strenuous
 This old road climbs steeply to a view of Whitesand Lake with Lake Superior as a backdrop.
 
Rainbow Falls Trail 3 km, 1.5 hours, strenuous
A series of stairs and platforms follow Rainbow Falls down to a sturdy bridge over the cascades. The trail then leaves the river and climbs to a lookout overlooking"
Rainbow Falls,Swimming,"The warm, inland waters of Whitesand Lake are ideal for family swimming. The lake has two sandy beaches with designated swimming areas. Only the hardy brave the cold waters of Lake Superior; rocky outcrops and cobblestone beaches are the standard at Rossport Campground."
Rainbow Falls,Winter Activities,"Although the park is closed in winter, campground roads are accessible for cross-country skiing."
Ren� Brunelle,Biking,"There are no dedicated bike trails in the park - only park roads are available for biking, but just outside the park entrance are the Moonbeam Nature trails that offer kilometers of paved cycling, single track mountain biking and excellent bike riding."
Ren� Brunelle,Birding,"This is an ecological region known as the Boreal Forest, often called the songbird nursery because so many nest here each summer. Many species of birds can be seen and heard throughout the park, even from your campsite. Warblers may be the most colourful and have the prettiest songs, but there are also many types of sparrows, flycatchers, thrushes, finches and woodpeckers. Spruce Grouse and their chicks are sometimes seen crossing park roads – keep and eye out for them and drive slowly!"
Ren� Brunelle,Boating,Launch your boat and enjoy the ample boating opportunities on Remi Lake. A modern boat launch is located just off Provincial Park Road south of the park entrance. The park has docking facilities available for mooring campers’ boats.
Ren� Brunelle,Canoeing,"There are excellent canoeing opportunities on Remi Lake, especially exploring the park’s undeveloped north shore."
Ren� Brunelle,Fishing,"Fish for Walleye, Northern pike, Small-mouth bass, Lake whitefish and Yellow perch in Remi Lake. Then back on shore, clean your catch at the fish cleaning hut close to the floating docks."
Ren� Brunelle,Hiking,"La Vigilance Trail 1.5 km (1hour) easy
 Discover this park’s place in the colourful history of northern aviation and the history of Remi Lake as a base for floatplanes in the 1920s, when aviation was in its infancy."
Ren� Brunelle,Swimming,"The four sandy beaches, shallow, clear water and buoyed areas are perfect for family swimming. There are change facilities, a full-size sand volleyball court at the Day Use Area, and a place to play horseshoes."
Restoule,Biking,Gibs Trail and Angels Point Trails are bicycle friendly and the many kilometers of road in the park make this an excellent way to get from point to point.
Restoule,Birding,"More than 90 species of birds frequent the waters and forests of Restoule including, Peregrine Falcons, Bald Eagle and Osprey."
Restoule,Boating,"There are many secluded kilometers of lakes and river to explore by boat, canoe and kayak. Well marked campsites and portages provide easy access to Restoule, Stormy and Clear Lake and the Restoule River. Boat launches and docks are located on Restoule and Stormy Lakes for day and overnight docking."
Restoule,Canoeing,"There are many secluded kilometers of lakes and river to explore by boat, canoe and kayak. Well marked campsites and portages provide easy access to Restoule, Stormy and Clear Lakes and the Restoule River."
Restoule,Fishing,"Lake Trout, Splake, Walleye, Pike, Muskie, Large and Smallmouth Bass and Lake Whitefish are commonly caught on the front and backcountry lakes in and around the park."
Restoule,Hiking,"Fire Tower Trail - 7 km 
This loop trail will take from 2 to 2.5 hours and is rated as moderate with several steep rocky climbs."
Restoule,Hunting,Time and location restrictions exist. Please contact the park directly for details and seasonal variations.
Restoule,Natural Heritage Education,"Educational, entertaining programs are offered 4-6 times a week from July to September."
Restoule,Swimming,Three sandy beaches on Restoule Lake provide a relaxing place to soak up the sun. The Bells Point Beach is also pet friendly.
Rideau River,Biking,There are no dedicated bicycle trails at Rideau River but bicycles are permitted on campground roads.
Rideau River,Birding,"Watch for waterfowl, Great Blue Herons and osprey along the Rideau River in the park. The Rideau Bird Sanctuary, west of Merrickville, provides excellent birding opportunities."
Rideau River,Boating,"Power boats are allowed on the Rideau River. There are many fascinating points of interest to explore. Venture upstream, 20 km to Burritts Rapids lockstation or downstream, 20 km to Long Reach lockstation in Manotick. Take a trip through the locks for a real adventure! Marinas are located along the way."
Rideau River,Canoeing,"Paddling on the Rideau
The Rideau River is part of the Rideau Canal UNESCO World Heritage Site. This waterway offers lots of opportunities for paddlers wanting to explore. Visit this website and click on paddling guide 14 for points of interest near the park, for example, a 7 km paddle up Kemptville Creek to the town of Kemptville."
Rideau River,Fishing,"This section of the Rideau River is very popular for muskie anglers. Good opportunities also exist for bass, walleye and panfish. Ask at the Park Office about Tackleshare, a fishing rod and reel loaner program."
Rideau River,Hiking,"Shoreline Trail – 1.5 km, linear, easy
Hike the Shoreline Trail and look for wildlife along the riverbank such as frogs, turtles and Great Blue Herons."
Rideau River,Swimming,"The Main Beach, a sandy beach on the Rideau River, is located next to the campground. The swimming area is marked with buoys and has a gradual drop-off. Please note: there are no lifeguards posted at the beaches. Amenities include picnic tables and a picnic shelter in the shady, grassy area. Flush toilets and change rooms are on site as well."
Rock Point,Birding,Over 260 bird species have been recorded in the park. A bird banding station located in the west end of the park allows you to see many of these species up close.
Rock Point,Boating,Boats are permitted on Lake Erie but there is no boat launch or docking within the park.
Rock Point,Fishing,Fish of the limestone rock outcrop for Large and Smallmouth Bass and pickerel.
Rock Point,Hiking,"Woodlot Trail - 2 km
Explore a variety of forest and wetland communities including Carolinian, Oak Savanna and old farm fields that are slowly being reclaimed by the forest. The trail will lead you to a viewing platform built on top of the park’s sand dunes overlooking Lake Erie."
Rock Point,Hunting,Fall waterfowl hunting is permitted after the park closes. For more information please contact the park (905) 774-6642
Rock Point,Natural Heritage Education,"Fun and active educational programs are offered by park staff. Take a hike with the naturalist, join staff at a slide show or stop by an evening campfire program to learn about the park’s natural and cultural environment."
Rock Point,Swimming,There is a 1 km natural sand/pebble beach that runs from the campground to the day-use area. The beach gradually drops off and is not marked with a buoy line. Please note: there are no lifeguards posted at the beach. Pets are only permitted on the far west end of the beach in the day-use area.
Rondeau,Biking,"Trails: Three trails, totaling 38.5 km in length, are available to cyclists. These trails travel through mature Carolinian forest, past 200 year old trees, and through rare Oak Savanna."
Rondeau,Birding,"Rondeau is a premiere birding destination providing bird watchers with a world-class experience. 334 species of birds have been recorded in the park and 134 of these have been recorded breeding. Some, like the endangered Prothonotary Warbler, are found in only a few places in Canada."
Rondeau,Boating,"Lake Erie: Lake Erie is a prime boating destination for sailing, motor boating and kayaking. There is no lakeside boat launch or docking facilities in the park, but both can be found in nearby Erieau."
Rondeau,Canoeing,"Rondeau Bay: The generally calm and shallow waters of Rondeau Bay offer an excellent canoeing or kayaking experience. Pack some snacks and water and venture out into Rondeau’s marsh, one of the largest remaining coastal wetlands on the lower Great lakes. Look for Spotted Gar at the water’s surface, Bald Eagles soaring overhead or any of six turtle species swimming under your canoe."
Rondeau,Fishing,"Lake Erie: Salmon, walleye, and perch are the most popular catches in Lake Erie."
Rondeau,Hiking,"Spice Bush Trail - 1.5km loop, 1 hour, easy  
The Spicebush Trail winds through a southern hardwood forest of old growth Tulip Tree, American Beech, and maple. In spring, the forest floor is carpeted in wildflowers making the trail a botanists delight. The trail explores the transition between Carolinian forest and marsh and is an excellent site for bird watching."
Rondeau,Hunting,"Waterfowl Blind Hunting available from the middle of September to the middle of December on Rondeau Bay, subject to the Ontario Hunting Regulations. This activity is operated by the Rondeau Bay Waterfowler’s Association. For more information, please contact the Park Office and visit Rondeau Waterfowlers."
